id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
Ugw4Iw2NMPtkFsEXau94AaABAg,cristina lima,7 months ago,1510448478845,e isso matou a  todos,1,false,0,,,,,,
Ughq5mAe4SRtMXgCoAEC,cqfstv companhia de quem fala só,1 year ago,1497229278855,lei de um falatório controlador é filme de urna apenas de fora,0,false,0,,,,,,
Ugh7r_3VeDn7L3gCoAEC,Juan M. J.Silva,2 years ago,1465693278871,"A mulher se torna PRESIDENTE; PATROA; COMANDANTE; mas quando chega uma oportunidade do homem decidir a hora de ter filhos, o FEMINISMO fala mais alto!!!!  Pronto !!!! Diga não ao ABORTO e sim ao NOFERTIL anticoncepcional masculino... Vem da semente do algodão o Gossipol desde 1999 mas vetaram a produção!!!! Como a pílula do câncer ♋!!!!",1,false,0,,,,,,
UgiOiP9IzU07lXgCoAEC,Raphael Silva,2 years ago,1465693278880,"Nada eletronico é inviolável , NASA , CIA , NSA  sistemas de bancos Suiços já foram hackeados com maestria  quem fala que ninguem conseguiria fraudar uma urna eletronica não tem conhecimento algum em Banco de dados ou programação no nivel mais basico , qualquer urna na mão de um programador competente poderia alterar os rumos de uma eleição ao seu bel prazer , e tendo suporte e acesso ao sistema sem ter que investigar ou programar uma a uma um simples pendrive contaminaria uma maquina após a outra ou para simplificar o golpe é mais facil manter o sistema original e alterar a computação dos votos na saída evitando possiveis investigações , O melhor seria trazer devolta os votos de papel mesmo que possa haver fraude por parte de algumas pessoas jamais conseguiriam roubar a eleição alterando um voto ou outro, jamais, e qualquer coisa seria possivel uma recontagem quê por mais incrivel que essas maquinas sejam não é possivel fazer que por sí só já acarreta crime eleitoral.",2,false,0,,,,,,
UgjuxKdlC4upuHgCoAEC,Eduardo Garcia,2 years ago,1465693278889,"impressionante como a retórica de um sujeito mal ajambrado (com amigos ""alemões"") ilude vcs KKKK
vou fazer uma denúncia real: está acontecendo agora um concurso patrocinado pelo TSE para que se fraudem as urnas. O objetivo é, caso consigam, o sistema seja revisto. O prêmio é em dinheiro. Isso sempre aconteceu e em 2012 alunos da UNB conseguiram descobrir a ordem em que a urna registrou os votos mas não conseguiu alterar a votação.
Temos que votar em cédulas, naquelas mesmas que o excrutinador fraudava com uma simples caneta. a fraude era simples: 
Você assinalava seu candidato na cedula e o cara que contava o voto na junta passava uma caneta por cima anulando seu voto e as cedulas em branco ele assinalava com o candidato dele.
pois é né, a cinderela é mais real que a denuncia ai no videoKKK",2,true,1,,,,,,
,,,,,,,,UgjuxKdlC4upuHgCoAEC.8C0Co73OuYc8FSDDPM5ko1,Herbert José da Fonseca Silva,1 year ago,1497229279430,"quem vai saber, se nas eleições passadas não poderia ser fraudada, além do mais, só o simples fato de a contagem ser feita em uma sala fechada por apenas 23 pessoas, já configura em crime, ou algo que dá pra desconfiar",1
Ugjqia33vlGbsHgCoAEC,Lililson Santos,2 years ago,1465693278901,"Que interessante, uma ""urna inviolável"" kkk e ainda tem besta que acredita nisto, o país mais corrupto do mundo fez a Urna eletrônica inviolável, Rsrsr a prova de vírus e roubo de dados rsrs poxa vida, o Brasil deveria ensinar aos coitadinhos da Microsoft a fazer programas invioláveis, os cientistas da maior emprega de programas de computador do mundo não conseguem se livrar dos vírus nos seus programas, o Brasil deveria vender essa tecnologia fantástica aos americanos da Microsoft e da Apple... que piada...Parabéns deputado, pela coragem de denunciar mais um esquema petista... nas ultimas eleições houveram muitas urnas que já chegaram com os votos computados, votos do primeiro turno...tem uma professora da Paraíba que foi votar e seu voto já estava lá....nenhum mesário ou responsável quis responder a denuncia da professora...que país é esse, o país dos lesados petistas...kkkk",2,false,0,,,,,,
Ugiiwd6Sw8XTHHgCoAEC,André Rodrigues,2 years ago,1465693278906,"Cadê as provas?
Vídeo de 2010 e ainda não conseguiu provar?
Huuummm",0,true,2,,,,,,
,,,,,,,,Ugiiwd6Sw8XTHHgCoAEC.837eXTod8Af7-HlbEkgrv2,Mikael Maya,2 years ago,1465693279398,"+André Rodrigues Tem que ser no mínimo inocente pra achar que em um dos países mais corruptos do mundo, exatamente a máquina usada pra escolher políticos é a única coisa que funciona corretamente.",4
,,,,,,,,Ugiiwd6Sw8XTHHgCoAEC.837eXTod8Af87oAsdbcLid,No Pain No gain,2 years ago,1465693279409,"+papapardal1 Quer a prova??  Olha a última eleição presidencial.  Pesquisa boca de urna que eu meus amigos,  em redes sociais etc.., Dilma nem em segundo lugar ficava de cada 100 que se perguntava 1 e outro falava em Dilma,  e misteriosamente ela ganhou,  e com uma margem minúscula para não dar na cara.",0
