id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgwqFqTlbD9ypMtLqPF4AaABAg,akira lopes,3 months ago,1520815942220,filha da puta!!!!!!!!,0,false,0,,,,,,
UgyWv_M0a3fTl8vqhC94AaABAg,Felipex G,3 months ago,1520815942232,Esse vídeo foi bom. Só com notícias e sem provocações desnecessárias,0,false,0,,,,,,
UgjfSYBmcQKAiHgCoAEC,Caciano Marcal De Araujo,4 months ago,1518396742243,Parece a voz da ex-presidanta,0,false,0,,,,,,
UgwuMbdQA0WuOpmbIat4AaABAg,Tew Chainsaw マーク,4 months ago,1518396742252,#JoãoAmoêdo2018,0,false,0,,,,,,
UgxaRaDd3RWFzdDh_kh4AaABAg,Josue Rodrigues,4 months ago,1518396742259,#bolsonaro2018,0,false,0,,,,,,
UgyjNgEyCFlv4DFT-LR4AaABAg,marcelo78,4 months ago,1518396742270,Chega dessa vagabunda. Alguém meta uma bala na cabeça dessa inútil! Morte aos políticos ladrões.,0,false,0,,,,,,
UgzwnGGhO1SIhhmqIAd4AaABAg,Vïnıcīus ZoHancock TZ,4 months ago,1518396742283,"As urnas são as mior somente no Brasil ¿?¿? Não , elas podem ser usadas para treinar o roubo de votos em quaisquer país ¡i",0,false,0,,,,,,
Ugw0FrqjjJew0sNs_6R4AaABAg,Douglas DLH,4 months ago,1518396742299,vai toma no #%$# do brasil e seus e seus e seus  vai saber se e gente ou um bando de burro,0,false,0,,,,,,
UgxK6q1CHQtq2ugYexV4AaABAg,igor oliveira,4 months ago,1518396742310,não sei como o otario não fica louco com tanta injustiça,0,false,0,,,,,,
UgyjXCSImQOjAfqFHPF4AaABAg,Roberto C. Fiorin,4 months ago,1518396742324,#ninguemconfianasuurnaseletronicas,1,false,0,,,,,,
UgyBx1XyBYOSjq-Rq3F4AaABAg,Udiclei Belchior,4 months ago,1518396742335,Essa Cristiane parece uma mutante será que ela não é uma reptiliano? Ou um extraterrestre?,0,false,0,,,,,,
UgwGDz5zbiIkp843zMN4AaABAg,Anderson Menezes,4 months ago,1518396742343,Quanto tempo pro canal acabar otario?,0,false,0,,,,,,
UgxGG4ddpI0T-BST7-J4AaABAg,Anderson Menezes,4 months ago,1518396742350,A direita e tao etica,0,false,0,,,,,,
UgzI3F0SJC0NAcLwoL54AaABAg,Juliano Bala,4 months ago,1518396742360,Tinham que ganhar auxilio fuzilamento. Chama o estado islamico que fazem o serviço. Acaba a farra com o dinheiro do povo.,0,false,0,,,,,,
UgzNXup8JzUdN_FPevd4AaABAg,Gleisson Silva,4 months ago,1518396742372,Pelo amor de Deus senhor otario vou escrever isso todos os dias faça um quadro ficha suja sobre politicos ladroes e ensina o povo burro a votar,0,false,0,,,,,,
Ugyqo4fotwRsNC7bcZt4AaABAg,L. Wagnner PF,4 months ago,1518396742382,melhor do video 7:26,0,false,0,,,,,,
UgwxXTxfnVuy9HdcOmR4AaABAg,André Ricardo Branches,4 months ago,1518396742386,É impressionante no que se transformou às secretarias do estado... Num verdadeiro CURRAL ELEITORAL PRA POLÍTICOS BANDIDOS!,0,false,0,,,,,,
UgybTfojg-XE1obhlqJ4AaABAg,Santos DF,4 months ago,1518396742397,Gilmar Mendes não é desse planeta. Tem tanto rabo preso que n sei quem terá o pior final Ele ou Lula.,0,false,0,,,,,,
UgwziRs_y-VHTjiC89h4AaABAg,Sobrevivente RJ,4 months ago,1518396742406,BolsoMito 2018,0,false,0,,,,,,
UgzjGqVnsvAe1Y79Wvl4AaABAg,ledison,4 months ago,1518396742412,É por essas e outras que  eu não  consigo acreditar que o Brasil  um dia vai mudar ! : (,0,false,0,,,,,,
UgzFYGuc_RjcGDEB9V14AaABAg,Sigma Arquitetura,4 months ago,1518396743124,Urna eletrônica um  sucesso!!! kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk PORRRRRRRRAAAAAAAAA GILMARRRRRRRR kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk É Rir para não chorar!,0,false,0,,,,,,
UgwOTJi4HROmtWykOq14AaABAg,Jane Beto,4 months ago,1518396743133,Alguém dúvida q essa senadora é uma bandida 😡,0,false,0,,,,,,
Ugz0KluCSRkKcx3Yt694AaABAg,Alfeu de Zebedeu,4 months ago,1518396743142,Os corruptos comunistas tomaram conta do governo do Brasil não existe e nunca existiu justiça para governos corruptos.,0,false,0,,,,,,
UgyM9XTEHnPOmvkdKN14AaABAg,Wagner Silva,4 months ago,1518396743144,"Não se trata de somente acabar o auxílio moradia, mas também, se certificar, de que, esse dinheiro poupado, não seja desviado para o bolso dos políticos FDP.",0,false,0,,,,,,
UgwVjAb4Ge9Jo9XnoMF4AaABAg,Espírito de Fogo,4 months ago,1518396743153,#Otárioéfoda (curte meu comentário Otário),0,false,0,,,,,,
UgxSIObDCrSV0CJwgMZ4AaABAg,Gustavo Carvalho,4 months ago,1518396743163,"https://exame.abril.com.br/estilo-de-vida/harvard-convida-anitta-para-dar-palestra-sobre-o-brasil/

pqp... essa vai pro próximo vídeo...",0,false,0,,,,,,
UgyiGiTOXWJEf9Yy_AB4AaABAg,Claudio Barros do Nascimento,4 months ago,1518396743168,Ele quis dizer: A importância das urnas eletrônicas para os bandidos corruptos do Brasil.,0,false,0,,,,,,
UgzgjHTBE851bXyw2QZ4AaABAg,Claudio Barros do Nascimento,4 months ago,1518396743176,Está na hora do stf prestar contas desses desmandes e favorecimentos a bandidos. Agora o homem esta livre pra roubar novamente com o aval do poderoso e intocável stf comandado pelo também intocável Gilmar.,0,false,0,,,,,,
UgyfLEdmGw9SxHcobhN4AaABAg,Claudio Barros do Nascimento,4 months ago,1518396743190,"Corrigindo! Fim dos auxílios, moradia, paletó,combustível, viagens... E salário mínimo pra todos esses vagabundos.  Também relógio de ponto e metas de produção à todos sem exceção. tá mais que na hora desses vagabundo tirarem o rabo gordo da cadeira e mostra alguma utilidade que justifiquem suas presenças nos cargos a ele destinados. #FIM DAS MORDOMIAS DESSES VAGABUNDOS BANDIDOS INÚTEIS.",0,false,0,,,,,,
UgyDh9nympn4lyBipSl4AaABAg,Marcio Eustaquio,4 months ago,1518396743199,"Tal pai, tal filha! 
Aquele vagabundo com aquele papinho de arrependimento só engana os To ro xas!",0,false,0,,,,,,
UgzaspQVJQvNdo1PJrx4AaABAg,Colli Humberto Colli,4 months ago,1518396743205,Bolsonaro presidente 2018 👍,0,false,0,,,,,,
UgyjNwkZoneUkBK4yrd4AaABAg,Armed,4 months ago,1518396743211,Essa Cristiane é muito Brasil mesmo...,0,false,0,,,,,,
UgwejdqNfpAbZyOlWOF4AaABAg,GiLbErTo XaViEr,4 months ago,1518396743220,"Quem foi o deputado (autor), da PEC do voto impresso otario?🤔🤔🤔🤔🤔 faltou essa informação...",0,false,0,,,,,,
Ugx4Z0c7hScFGwAcs614AaABAg,Ruan Marveriki,4 months ago,1518396743224,Bitcoin caindo dólar subindo e cu trancando.,0,false,0,,,,,,
UgzhWj3Wi7ZCJgGIEul4AaABAg,Não interessa,4 months ago,1518396743232,"Kkkkkkkkk a festa do Neymar levou um ""Foda-se"" kkkkkkkkkkkkkkkkkkkkkk.
Obrigado pela homenagem Canal do Otário.",0,false,0,,,,,,
UgxEf_jhitpsHBPcgMR4AaABAg,Legend Attack,4 months ago,1518396743234,#NOVO30 João Amoêdo presidente,0,false,0,,,,,,
UgxWPvoKiFFdz5Yu3Ol4AaABAg,filipe brandao,4 months ago,1518396743244,"Caracolhes, Otário... Esse Brasil tá tão difícil de aguentar que se não fosse o momento fofurinha ...  era internação certa por conta da depressão causada pelo conteúdo noticiado no video. .  E o momento final... ah, o momento final...  FODA-SE . kkkk

Abraço.",0,false,0,,,,,,
Ugwa7H5NTEUov4brpPx4AaABAg,Henrique Santana,4 months ago,1518396743246,Faz um vedio sobre importação sobre os atrasos das incomendas sobre os correios,0,false,0,,,,,,
UgzI90r7a0D4eKB7nAB4AaABAg,Fabio Serrão Prates,4 months ago,1518396743280,"Por isso que falo: crime contra o patrimônio público deveria ser imprescritível, quiça hediondo!",1,false,0,,,,,,
UgxaFYX5huS5sEHb3iN4AaABAg,Renato freitas soares,4 months ago,1518396743290,#bolsonaro2018,1,false,0,,,,,,
UgyWhIhNgBKmQ3HVH4R4AaABAg,Sidney Medeiros,4 months ago,1518396744002,Junta o Claudinei e o Nelson que vive contente para subir este canal,0,false,0,,,,,,
UgyqD0HpYXRl9lXMeqV4AaABAg,Marquinhos,4 months ago,1518396744006,Não existe outra definição para a política no Brasil a não ser NOJO! Nada irá mudar neste país enquanto as cabeças desses fanfarrões corruptos não começarem a literalmente rolar! Estou começando a acreditar que a única forma desses FILHOS DUMA PUTA começarem a levar a população a sério é matando alguns para que sirvam de exemplo... #SóAcho... Quem se habilita?,0,false,0,,,,,,
Ugxye1D-xGVCIu6eK0N4AaABAg,Fernando Henrique,4 months ago,1518396744014,Muito cara de pau essa dai,0,false,0,,,,,,
UgyY_jle2PPhoNB-V-54AaABAg,Acroporium sp.,4 months ago,1518396744024,"Secretaria de envelhecimento? Para velho, não pode ser existir isso.",0,false,0,,,,,,
UgyqcABrpAccBEHHPWB4AaABAg,Eduardo Gomes,4 months ago,1518396744029,PAIS DE MERDA!,0,false,0,,,,,,
UgyGrDTLN0n7SSINGN94AaABAg,Mídia Alternativa,4 months ago,1518396744036,Essa declaração da Cristiane Brasil não se diferencia em nada da do Bolsonaro falando que se fosse presidente ia fechar a Folha e os repórteres que o incomodavam iam ser despedidos.,0,true,1,,,,,,
,,,,,,,,UgyGrDTLN0n7SSINGN94AaABAg.8cLiN3e5Y9K8cLp6BlDFbO,roberto primordial,4 months ago,1518396744435,"tem muita diferença amigo , muita",0
UgxmqfXGSDa3HdXpy994AaABAg,Faith makes all things possible!!!!!!!!!!! Darkners,4 months ago,1518396744047,"Na moral chega a ser bizarro o que esses vermes de Brasília fazem com este País bando de mamadores, e as urnas o que falar deste lixo eletrônico que a cada eleição faz o povão de trouxa e tem gente que ainda defende esse teatro.",0,false,0,,,,,,
UgwKhkCHlVmETgzQonh4AaABAg,Black Cat,4 months ago,1518396744052,Políticos são um reflexo de seus eleitores.,0,false,0,,,,,,
UgxbVs6GHuMDY1FaSMh4AaABAg,Humberto,4 months ago,1518396744067,A Bruna adora Euros... Ops! Quero dizer: adora o Neymar!,0,false,0,,,,,,
