id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgzykhbX47rLu45cY614AaABAg,Walter Fabiano Andrade Benner,1 day ago,1528675495201,Nao vote ou compareça pra ver!,0,false,0,,,,,,
Ugx_pbKdLH2wy2N7DZl4AaABAg,Walter Fabiano Andrade Benner,1 day ago,1528675495221,Desculpa TSE ! tanto faz pra mim nao faz nada mesmo só serve pra ferrar a vida da gente!,0,false,0,,,,,,
UgyssKsvprZhXOGcYmF4AaABAg,Walter Fabiano Andrade Benner,1 day ago,1528675495232,A parada na hora de votar é 0000 confirma! Más sabe lá se ainda nao vai pra alguém né!?,0,false,0,,,,,,
UgyBctMev2b0rMpDCqR4AaABAg,Walter Fabiano Andrade Benner,1 day ago,1528675495238,Quem criou o TRE? A política então...,0,false,0,,,,,,
UgxkTCcMaHoOMun2KsN4AaABAg,Jefferson Ling,2 days ago,1528589095248,"No caso da foto fica no título sim 
Aplicativo celular e título",0,false,0,,,,,,
Ugx7hwZIyeURBQ53P0t4AaABAg,Jose Dionisio Conrado Conrado,3 days ago,1528502695258,"Esse vídeo eu mesmo mandei fazer, o canal do otário e o que realmente somos . parabéns pelo seu esforço ,o canal do otário e tudo verdade os brasileiros são todos otário.",0,false,0,,,,,,
UgyKdqllyh7zTvN7ZPJ4AaABAg,DAVINCCI LOURENÇO DE ALMEIDA,5 days ago,1528329895267,www.luminousbrasil.com.br empresas para lavar dinheiro dos maçons oficiais militares maçons GENERAIS CORONÉIS ALMIRANTES BRIGADEIROS DA CAMARGO CORRÊA,0,false,0,,,,,,
Ugya1JNbiTj_tOwXCl94AaABAg,Luiz Bzn,5 days ago,1528329895271,PAPO DE SEGUNDO COLADO E DE BOLSO BOSTAS.😕,0,false,0,,,,,,
UgwjkWGLq21Vms2ROgt4AaABAg,Rodriguinho Obrigado!,6 days ago,1528243495281,2018 e olha nois aqui de novo,0,false,0,,,,,,
UgwMe7qQZMCgpd6CUit4AaABAg,Gabs tattoo,1 week ago,1528157095290,Boaa!,0,false,0,,,,,,
Ugzweop7reZLxLJsw5x4AaABAg,A Verdade,1 week ago,1528157095300,Os vídeos nesse formato eram os melhores,1,false,0,,,,,,
Ugzl5rVonD53U18ZcQt4AaABAg,Vinicius de Sá,2 weeks ago,1527552295331,Até as eleições pra diretor da minha escola é mais segura que as urnas kk,3,false,0,,,,,,
