id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgyK6W5eN1nHOp0xqs94AaABAg,Felipe Botelho,6 hours ago,1528739446268,Quando deu dormento cancelou voto !,0,false,0,,,,,,
UgyZcPSqLIGcYbZDt9B4AaABAg,Joao Paulo Luiz da Silva,3 days ago,1528501846278,Fraude p o candidato voto nulo?,0,false,0,,,,,,
UgxTXeIHfVc-hNhz6gp4AaABAg,Leandro de Oliveira,1 month ago,1526082646282,E esse voto no aecio aí fera ??? Kkkk,0,false,0,,,,,,
Ugyl9mMy3LbZnUcAu4h4AaABAg,Patrick Oberholzer,1 month ago,1526082646290,"O voto obrigatório e a urna eletrônica são jaboticabas inventadas por agentes/servidores públicos e político brasileiros se não corruptos, coniventes com a corrupção ou com suas capacidades mentais e cognitivas significativamente diminuidas. Nenhuma Democracia avançada no mundo adota o sistema de voto com urnas eletrônicas : eu estou me referindo a nações que dominam as tecnologias mais avançadas do mundo (aeroespacial) e que são democracias maduras, pq ?  por uma simples razão : a urna eletrônica não garante que o voto do eleitor seja processado de forma correta, sem trapaça; com a urna eletrônica é impossível proceder a uma recontagem dos votos que seria um controle cruzado de informações. Holanda, Bélgica e EUA testaram e não quiseram e hoje somente o beiçola, o rei do frango e da polenta e o analfabeto funcional do STF, o ditador Maduro, e a  Raquel Dodge defedem o sistema de urna eletrônica : por que tanta teimosia ?",0,false,0,,,,,,
Ugz6sQIv41nWDSFKvJF4AaABAg,Luana Machado,4 months ago,1518393046299,Ele vota 44 e depoia aperta no vermelho. Tem q ser no verde pra ir o nulo. O povo nao sabe votar mesmo literalmente.,0,false,0,,,,,,
UgyKr5HctBNtANgqjCB4AaABAg,Wallace Lopes,4 months ago,1518393046301,44 não seria o número do PRP?,0,false,0,,,,,,
UgwUWiiuGRGHOhghR-t4AaABAg,Druca Fate,7 months ago,1510444246311,O programador que digitaliza o resultado das pesquisas que colocam o Lula da Silva lá em cima é o mesmo que programa as urnas eletrônicas de votação...,0,false,0,,,,,,
UgyjTovLMkF_0waZbY54AaABAg,André Mariano,7 months ago,1510444246314,"Cara tira este vídeo. Vc está passando vergonha. Para saber se há segurança na urna procure ver os vídeos do especialista que constatou os problemas no software, Diego Aranha.  Fazer um vídeo como esse aqui não ajuda em nada. Falta de vergonha na cara.",0,false,0,,,,,,
Ugyv1WUrjVS9NB81fjV4AaABAg,Elimar Cardoso,8 months ago,1507765846323,"Esse é o motivo de proibir filmar, é para eles terem a chance de roubar sem ninguém perceber. Não! As urnas eletrônicas, fora! Curruptos.",0,false,0,,,,,,
UggTauVATy6z3ngCoAEC,E ZD,11 months ago,1499817046327,mau de Parkinson,0,false,0,,,,,,
