id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgwE3ie8sZmsquOH4Gt4AaABAg,Alexandre Justi,1 minute ago,1528762055211,Deveriam fazer um teste oficial e legítimo dessas urnas sendo televisionado no horário nobre da Rede Globo para que toda a população brasileira pudesse acompanhar. Que tal meus compatriotas ?,0,false,0,,,,,,
UgxSSZnMFFvTMIscQLZ4AaABAg,Juninho Rodrigues,6 minutes ago,1528761755216,"ESPERAR O QUE DESSA GENTE MANCOMUNADA COM GOLPISTAS QUE APEARAM DO PODER UMA PRESIDENTA HONESTA QUE RECEBEU 54 MILHÕES DE VOTOS E QUE MANTÉM PRESO O MELHOR PRESIDENTE DA HISTÓRIA DA REPÚBLICA FEDERATIVA DO BRASIL, NUMA CONDENAÇÃO VERGONHOSA CUJO PLANETA TERRA INTEIRO TEM CONHECIMENTO?",0,false,0,,,,,,
UgzNZRIRqczDlNgycTl4AaABAg,Juninho Rodrigues,10 minutes ago,1528761515223,ATÉ HOJE NÃO ACREDITO QUE OS PAULISTANOS POSSAM TER DADO 65% DOS VOTOS À DORIA DO psdb EM PRIMEIRO TURNO . TEM COISA AÍ...,0,false,0,,,,,,
Ugw1qemMLyGiaRNvubJ4AaABAg,Titan68 Direct,12 minutes ago,1528761395227,"Reparem que todos ficam olhando seus notebooks ou fazendo outras coisa e nem olham para a tribuna, um verdadeiro desaforo, nem fingem, nem disfarçam, simplesmente ignoram pois a decisao ja estava tomada antes mesmo da sessao iniciar, são terroristas e como tal teem que ser tratados.",0,false,0,,,,,,
UgztgdF60Y1NEcijjuF4AaABAg,gomes barbosa,20 minutes ago,1528760915235,´É isso ai jovem brilhante colocou colocou todos no bolso;,0,false,0,,,,,,
UgzDO4ydmFXpfJl2I9d4AaABAg,fellipe red,25 minutes ago,1528760615240,deixa o cara responde pqp,1,false,0,,,,,,
Ugw95V5Lwenrj-RZK_54AaABAg,777espiao,35 minutes ago,1528760015247,"Se essas urnas eletrônicas fossem confiáveis, os EUA já estariam usando há muito tempo,  MAS NÃO ESTÃO, PORQUE SERÁ..............",0,false,0,,,,,,
UgyI-m5-83_DQaGj1tl4AaABAg,neto juninho,54 minutes ago,1528758875251,urnas eletrônicas é fraude completa povo acordar vamos reagir,1,false,0,,,,,,
UgxTJnbVKTitVcjxSQZ4AaABAg,neto juninho,1 hour ago,1528758515257,intervenção popular militar essa palhaçada tem que acabar,1,false,0,,,,,,
UgxMMUkgl3LeeTXENC54AaABAg,Vera Couto,1 hour ago,1528758515262,"3 Poderes desacreditados. O povo não acredita nas urnas eletrônicas, e essa resistência do STF só coloca mais pulgas atras de nossas orelhas.",0,false,0,,,,,,
