id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgwOtFADXbyqu-9o_X14AaABAg,Meus porquês do Brasil,1 month ago,1526086787667,Crime o caralho seus canalhas.,0,false,0,,,,,,
UgxNxOPtnrNQVzMeX294AaABAg,"TORCIDA DO TIMÃO, DE SERTÂNIA - PE",5 months ago,1515718787675,"AQUI NA MINHA CIDADE TEM UM POLITICO QUE SO GANHA ASSIM ,E NINGUÉM FAZ NADA ! PRA FAZER ISSO É SO TER OS PROMOTORES E JUIZ ,DO LADO DO POLÍTICO MALANDRO ,AI FICA FACIL FRAUDAR AS URNAS !",0,false,0,,,,,,
UgyYkIwHnv7C70H10TF4AaABAg,"TORCIDA DO TIMÃO, DE SERTÂNIA - PE",5 months ago,1515718787678,"Kkkkkkkkk PRONTO ,ISSO PRA MIM NAO É NOVIDADES KKKK URNAS FRAUDADAS 😂😂😂😂😂😂😂😂😂😂😂😂😂😂AQUI É BRASIL PORRA, TERRA DE BANDIDOS! !!!!!!!",0,false,0,,,,,,
UghXtiAATrD4MXgCoAEC,Diógenes Santos,1 year ago,1497229187695,"o povo é quem manda,tem que filmar mesmo,por quê essa bosta já bem programada
quem duvida eles programar ela para um determinado candidato ganhar quem duvida disso,num país de políticos corrupto,os próprio mandatário de fazer a urna deve ser corrupto",2,true,2,,,,,,
,,,,,,,,UghXtiAATrD4MXgCoAEC.8JcBejiQPG-8K-Ik8gWgX0,matheus alexandre cruz da silva,1 year ago,1497229188196,"Diógenes Santos aqui no meu bairro teve denúncia dê fraude nas urnas eletrônicas,por esse motivo vai ter segundo turno.😤👎",2
,,,,,,,,UghXtiAATrD4MXgCoAEC.8JcBejiQPG-8K-L0g88ETC,Diógenes Santos,1 year ago,1497229188204,"+matheus alexandre cruz da silva ,,vota nulo nesse políticos,aqui também teve suspeita,essas urnas é fraude,veja tudo fica nas mãos deles,até o dono do próprio voto que somos nós,somos proibido ter um comprovante do voto para quem votou.",1
Ugjj_KZfsGK3vXgCoAEC,Luciano Dii Souza,2 years ago,1465693187702,"Está evidente o defeito físico na tecla, logo a urna é passível de substituição. NESTE vídeo não se pode concluir que há fraude.",3,true,1,,,,,,
,,,,,,,,Ugjj_KZfsGK3vXgCoAEC.8BA3rthUTKz8eER3eK_nQQ,Dinho de tapira Edilson boa sorte,2 months ago,1523494788146,eu vou colar as teclas 1 e 3 nas eleicoes entao... kkkk,1
UgjvGyReJFLhTngCoAEC,Tatiana Cardoso,2 years ago,1465693187711,"outra coisa, se estão afirmando que o cara votou sem ter votado, é só pedir o livro de assinaturas, se lá constar a dele, ele votou e tem Alzheimer",1,false,0,,,,,,
Ugicih5kmis1D3gCoAEC,Tatiana Cardoso,2 years ago,1465693187717,o mais engraçado é que ele filma o resultado na tela mas não filma quantas vezes ele aperta o numero 4... por isso dá nulo!!!,0,true,1,,,,,,
