id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgzJeiSLdcNX-UVrP414AaABAg,karmem barboza,3 days ago,1528505774500,"Magno Malta, o STF CONTRA VOTO IMPRESSO, QUAL É SUA MANIFESTAÇÕES A RESPEITO?",0,false,0,,,,,,
Ugz45fJG5nfVawHWLi14AaABAg,Edward Ruanas,3 months ago,1520816174517,"Só o Brasil utiliza estas urnas eletrônicas nojentas. Sabemos que é tudo uma farsa, a quantidade de nulos, brancos e justificativas só aumentam...",0,false,0,,,,,,
UgxD8zAMc9gkSHF4ojt4AaABAg,Carlos Augusto,3 months ago,1520816174525,Pq tanta resistência ao voto impresso ? Pq será?,0,false,0,,,,,,
UgzJFaq0Wp0hUHeOgSp4AaABAg,Carlos Augusto,3 months ago,1520816174531,Voto impresso já,0,false,0,,,,,,
UgzipdJ4Iscc5pb3IgJ4AaABAg,thiago josé,4 months ago,1518396974540,Se o pt defende essas urnas é porque é fraudulentas.,0,false,0,,,,,,
UgwnammlTNME0oXpNIh4AaABAg,gomes da silva Silva,4 months ago,1518396974544,Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Bolsonaro Presidente da república federativa do Brasil vice presidente General Mourão.,0,false,0,,,,,,
UgyAQdMp4IIhmoQ84FR4AaABAg,Boá Moinha Israel,4 months ago,1518396974553,Rakes emtrao nos computadores da NASA não vão entrar em uma urna eletrônica,0,false,0,,,,,,
UgzkfDglWSC0I_UAhKN4AaABAg,Nair Piccolo,5 months ago,1515718574558,"Voto so no papel sua vaca ,gleise",0,false,0,,,,,,
UgyK7XafhopAOTHSist4AaABAg,Lulu Soares,8 months ago,1507769774565,"CALA BOCA CARA PÀLIDA! TODAS AS URNAS NÃO ESTAVAM FRAUDADAS, ATÈ PORQUE VOCÊS NÃO SÃO TÃO BURROS ASSIM, SE FOSSE NÃO TERIAM CHEGADO AONDE CHEGARAM!  DIFERENTE DE SEUS ELEITORES!!! MAS AS URNAS DO ESTADO DO ACRE SIM, ESSAS NÃO SÒ ESTAVAM FRAUDADAS COMO TIVERAM UM ATRASO DE 2 HORAS NO FECHAMENTO DAS URNAS PARA COMPUTAR OS VOTOS SECRETOS QUE DERAM A VITÒRIA A DILMA ROUSSEFF!!! DILMA SE TORNO PRESIDENTE EM 2014 PELO VOTO SECRETO ILEGITIMO E INCONSTITUCIONAL!!",2,false,0,,,,,,
UggKP13vSBpXe3gCoAEC,laudevino luiz vicente,11 months ago,1499820974568,e vc  que acompanhou  malta   fraude voceis  fizeram com  a Dilma seus bandidos,0,false,0,,,,,,
