id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgyKDGCVGMbyYOVaHYp4AaABAg,Alex Cristiano,1 day ago,1528678412808,Sempre tiver a certeza que estas urnas são umas fraudes. Jair bolsonaro presidente 22018.Mesmo sem voto impresso.,1,false,0,,,,,,
UgwlEDJg75N7f26WvNd4AaABAg,Patrick Oberholzer,1 month ago,1526086412815,"O voto obrigatório e a urna eletrônica são jaboticabas inventadas por agentes/servidores públicos e político brasileiros se não corruptos, coniventes com a corrupção ou com suas capacidades mentais e cognitivas significativamente diminuidas. Nenhuma Democracia avançada no mundo adota o sistema de voto com urnas eletrônicas : eu estou me referindo a nações que dominam as tecnologias mais avançadas do mundo (aeroespacial) e que são democracias maduras, pq ?  por uma simples razão : a urna eletrônica não garante que o voto do eleitor seja processado de forma correta, sem trapaça; com a urna eletrônica é impossível proceder a uma recontagem dos votos que seria um controle cruzado de informações. Holanda, Bélgica e EUA testaram e não quiseram e hoje somente o beiçola, o rei do frango e da polenta e o analfabeto funcional do STF, o ditador Maduro, e a  Raquel Dodge defedem o sistema de urna eletrônica : por que tanta teimosia ?",1,true,3,,,,,,
,,,,,,,,UgwlEDJg75N7f26WvNd4AaABAg.8ewS5PpDdJV8exuwdLgLgd,aaanjr57,1 month ago,1526086413510,"Ok Patrick,perfeitas considerações,concordo com tudo e só poderia acrescentar que a razão apresentada que não tem dinheiro para atualização com impressão do voto,não convence a maioria dos especialistas,já que o TSE por exemplo recusou a iniciativa do IME/ITA para uma urna muito mais barata com a impressão do voto(E não podemos esquecer com total transparência na apuração).Só podemos conjecturar o interesse político para manter como esta,com um provável governo das sombras capitaneado  pelo Foro de São Paulo por exemplo para prevalecer um governo socialista como já ocorre na Venezuela com votações através tb do fraudável sistema da Smartmatic,abraços e obrigado pelo excelente comentário!",1
,,,,,,,,UgwlEDJg75N7f26WvNd4AaABAg.8ewS5PpDdJV8exxjhqDQOa,Patrick Oberholzer,1 month ago,1526086413514,"Não vi os cálculos dos custos comparando o sistema manual  (clássico/com boletim de voto manuscrito) com possibilidade de recontagem dos votos (vc compara a quantidade de boletim de votos depositados na urna clássica contra a quantidade de assinaturas de eleitores no caderno da seção eleitoral e vc apura 1 por 1 quem foi o candidato votado) versus o sistema de urna eletrônico acoplado com uma impressora que comporta os seguintes custos : custo de equipamento da urna eletrônica (custo incide para cada seção) + impressora especial (custo incide para cada seção) + o custo de back-up para substituir equipamentos defeituosos (custo rateado nas seções do Brasil todo) + custo operacional informático que é pesado (custo rateado nas seções do Brasil todo). Acredito que já fizeram essa ponderação nas tais democracias avançadas as quais me referi anteriormente e chegando a conclusão que era mto caro introduzir o sistema eletrônico mantiveram o velho sistema, é verdade um pouco mais lento mas nem tanto pois não há obrigatoriedade de votar nessas democracias;  para mim a obrigatoriedade do voto é outra jaboticaba brasileira que não deveria existir mas não é o assunto aqui...",1
,,,,,,,,UgwlEDJg75N7f26WvNd4AaABAg.8ewS5PpDdJV8ez4meBOjkG,aaanjr57,1 month ago,1526086413523,"Muito bem Patrick,esclarecedora análise,tb não vi os cálculos dos custos,mas vi e coloquei neste canal(https://www.youtube.com/edit?o=U&video_id=Rlk0VbUS70w) ,onde neste vídeo tb é esclarecido que os custos não são um problema para o orçamento destas urnas mais confiáveis com impressão do voto e de última geração!
Também concordo com a retirada da obrigatoriedade do voto,onde o que acontece hoje é que as pessoas preferem pagar a multa e não votar,abraços e obrigado pelos comentários elucidativos!",1
UgzwDySf6pF7LDGU15F4AaABAg,pedross64,2 months ago,1523494412826,"""ELEIÇÃO FRAUDULENTA DEVERÁ SER ELIMINADA. PORQUE ?""
*A VOTAÇÃO é SECRETO, mas a CONTAGEM NÃO. ASSIM o VOTO IMPRESSO como fica ? TAMBÉM NÃO !!! O SINCRONISMO ENTRE AS INFORMAÇÕES entre VOTO IMPRESSO e TOTALIZADORES LOCAIS devem ser mantidos SECRETOS, e entre os TOTALIZADORES FINAIS ser NÃO SECRETOS. ENTRETANTO A CONTAGEM ATUALMENTE É EFETUADA DE MODO TOTALMENTE SECRETO, PERMITINDO A FRAUDE, POR NÃO PERMITA A RECONTAGEM, A AUDITAGEM !!!
ONDE POSSA SER EFETUADA A TOTALIZAÇÃO FRAUDULENTO ? NAS URNAS, SÃO MUITO LENTO E QUANTIDADE MUITO PEQUENA PARA INFLUENCIAR A CONTAGEM !!! MAS ATENDA PARA AUDITAGEM !!!
A TESTE DE INVASÃO DAS URNAS PELOS ""ESPECIALISTAS"" CONVIDADOS  FOI DE EXTREMA ABSURDO. COMO FOI EFETUADA a TRANSMISSÃO (Wi-Fi, pen drives etc), os CONCENTRADORES e os  TOTALIZADORES e outros. A SEGURANÇA (INTERCEPTAÇÃO  E INJEÇÃO) DEVE SER MANTIDA RIGOROSAMENTE EM TODOS OS ESTÁGIOS. PORTANTO É DE EXTREMA IMPORTÂNCIA A ATUAÇÃO INTEGRADA DE SOFTWARE E HARDWARE DE CADA ESTÁGIO QUE PODERIA PERMITIR A FRAUDE. TODAS AS UNIDADES TOTALIZADORES FINAIS DEVEM ESTAR NO TERRITÓRIO NACIONAL.
SE A ELEIÇÃO FRAUDELENTA CONTÍNUE ENTÃO DEVE SER CONSIDERADA NULA, JÁ QUE PERMITA DECRETAÇÃO DE REGIME CONTRÁRIO A MAIORIA ABSOLUTO DA POPULAÇÃO BRASILEIRA POR ATENDER ARTIGOS 1 E 14 DA CONSTITUIÇÃO FEDERAL BRASILEIRA, CRIMINALMENTE.
PORTANTO, A VOTAÇÃO EM PAPEL COMO ANTIGAMENTE É MUITO MAIS SEGURO, POR ISSO CONTINUA SER UTILIZADA NA MAIORIA DOS PAÍSES DEMOCRÁTICAS DO MUNDO.
DEVE SER OBSERVADO RIGOROSAMENTE O INÍCIO DE CONTAGEM SIMULTÂNEA APÓS ENCERRAMENTO TOTAL DA VOTAÇÃO NO TERRITÓRIO NACIONAL.*
IMEDIATA INÍCIO DE AUDITORIA TÉCNICA INTEGRADA HARDWARE-SOFTWARE DO SISTEMA ELETRÔNICO DE VOTAÇÃO ATUAL PARA DETECÇÃO DAS IRREGULARIDADES, E AS PROVIDÊNCIAS A SEREM TOMADAS.",1,false,0,,,,,,
Ugz8uLuEAgZpdSNMLYl4AaABAg,Baker Crossroads,3 months ago,1520816012836,É preciso explodir o TSE e acabar com toda a justiça eleitoral!!!!,0,false,0,,,,,,
Ugyhc2FNBEABzgw784t4AaABAg,kleber wellington Frederico,4 months ago,1518396812846,Fraude com certeza,1,false,0,,,,,,
UgzAcmgl8-9ZAbJaO054AaABAg,ET Rivel,6 months ago,1513040012855,"DESOBEDIÊNCIA CIVIL É:
--- NÃO PAGAR NEM DECLARAR MAIS IMPOSTO DE RENDA
---  NÃO PAGAR O IPTU
--- NÃO PAGAR PEDÁGIO SEM NOTA FISCAL
--- PAREM AS FÁBRICAS
--- PAREM OS TRANSPORTES
--- GREVE !!!
--- PASSEATAS !!!
--- QUEBREM AS URNAS
--- ACAMPAMENTOS NOS CORREDORES DO CONGRESSO!!!
--- POLICIAIS, AJUDEM O POVO. NÃO REPRIMAM PORTE DE ARMAS, NÃO IMPEÇAM O POVO. --- POLICIAIS NÃO ATIREM NO POVO.  NÃO DEFENDAM O CONGRESSO, VAMOS TOMA-LO.
--- ESSA QUADRILHA PEDIU E VAI PAGAR.
--- ELES QUEREM O NOSSO SANGUE, VAI JORRAR É O DELES.
--- SOMOS MILHÕES CONTRA 500
...
--- VAMOS RETOMAR O PAÍS.
--- VAMOS DEFENDER NOSSOS BENS E NOSSAS FAMÍLIAS.
--- G U E R R A  ! ! ! 
....
CUSTE O QUE CUSTAR
https://www.youtube.com/watch?v=jgz-9DiRQsg&t=1s
CUSTE O QUE CUSTAR
https://www.youtube.com/watch?v=2zFWNoLdUKE
CUSTE O QUE CUSTAR.


A URNA ELETRÔNICA FOI DESENVOLVIDA PRINCIPALMENTE NA UFRJ, POR VOLTA DE 1982 NO NCE (NUCLEO DE COMPUTAÇÃO ELETRÔNICA), COM COMUNISTAS E DURANTE A GESTÃO DO REITOR COMUNISTA HORÁCIO MACEDO.
COINCIDENTEMENTE FOI NESSE PERÍODO QUE OS COMUNISTAS EXILADOS RETORNARAM AO PAÍS.
QUANDO A UFRJ DEIXOU DE SER UNIVERSIDADE PARA VIRAR CABIDE DE EMPREGO DE MAIS 3000 COMUNISTAS, COM AMPLA DISTRIBUIÇÃO BARATA DE DROGAS AOS ALUNOS.
...",1,false,0,,,,,,
UgwD4aWQ8Jy6rubLyxZ4AaABAg,Ricardo D,8 months ago,1507769612861,"Isso parte do pressuposto que o TSE não quer a fraude eleitoral. O TSE realmente não quer a fraude?
Tenho minhas dúvidas.",1,false,0,,,,,,
UgymQ53NToH9m0vZUNl4AaABAg,Daniel Rachadel,9 months ago,1505177612871,Na verdade temos 11 Ministros no supremo que são bandidos da pior especie e eles não ouve ninguém como se o brasil fosse terreiro das putarias deles. E pior não dão ouvido a ninguém como se ele estivessem acima da lei e da ordem!,1,false,0,,,,,,
UgjpJao_iCCAp3gCoAEC,Ricardo Belavenuto,10 months ago,1502499212881,"O problema mais grave: Um sistema onde o fiscal do processo é ele mesmo, o fiscalizado?? (o Próprio TSE)? ""Meus métodos, minha aprovação?"" A apuração deve ser 100% auditada: PAPEL vs DADOS da URNA. Não me importa que o processo seja mais lento e/ou desgastante. Me preocupa muito mais a legitimidade do processo eleitoral como um todo.",3,true,1,,,,,,
,,,,,,,,UgjpJao_iCCAp3gCoAEC.8V0Xxsho4X68V0meww5ksb,aaanjr57,10 months ago,1502499213388,"Ok Ricardo, concordo e ainda bem que tivemos a ação do deputado Bolsonaro para imprimir o voto permitindo auditoria física da eleição, muito obrigado por seu comentário inteligente e abraços, AJr.",1
UgjQUU_6gmA1fHgCoAEC,Augusto César Gomes,1 year ago,1497228812893,É bem curioso que o molusco se tornou presidente 2 anos após a efetiva implantação da famigerada urna. Vocês não acham ?,4,true,2,,,,,,
,,,,,,,,UgjQUU_6gmA1fHgCoAEC.8Prn-7JEQCA8PsnDBC9aTR,aaanjr57,1 year ago,1497228813402,"Realmente Augusto,principalmente considerando esta urna ser uma aplicação idêntica da que é usada em Cuba,e na Venezuela dos amigos ditadores de Lula e amplamente rejeitada em países do 1º mundo(aliás até no Paraguai não é aceita)...a pergunta que não quer calar é ""Até quando o Brasil vai aceitar isso?"",abraços!",2
,,,,,,,,UgjQUU_6gmA1fHgCoAEC.8Prn-7JEQCA8Q6MYcXulhN,Augusto César Gomes,1 year ago,1497228813411,"Sim, vc acha que o Bolsonaro propôs o PL do voto impresso (aprovado) a toa ? É provável que ele saiba sim do esquema de propinocracia bem como das fraldes que ocorrem aqui. Essa PL foi aprovada e em 2018 já será impresso o comprovante do candidato para presidente, governadores, senadores e deputados. Mas o que é triste é ver como muitas pessoas defendem o molusco apedeuta. Mas ele deverá estar atrás das grades até lá.",1
UggOsBp-ax2eMngCoAEC,wal gonçalves,1 year ago,1497228812905,"Nós brasileiros, temos que cobrar do TSE a retirada das urnas eletrônicas e voltamos a votar como antes.Nós podemos exigir isso,apenas não nos interessamos.",1,false,0,,,,,,
UggftBP_0qCtIXgCoAEC,Gilson De Paula,2 years ago,1465692812915,"Houve fraude eleitoral! Várias análise de dados mostram isto. Mas um o sistema que não possui o atributo de recontagem de votos (Isto por si só já é uma fraude.) e não gera prova física (Voto impresso) do que foi feito (Isto por si só também é uma fraude.) é perfeito para os planos de poder do PT. Caia na real, se não se pode recontar os votos não há democracia. Outra coisa, não existe margem para fazer algo muito diferente do que está neste estudo. Tente imaginar uma outra forma eficiente e sutil de fraudar esta eleição. Difícil não é? Sim, mas aqui esta provado que se pode fazer deste jeito. Quem pode refutar?
https://www.youtube.com/watch?v=hF7UOsZMQn8",3,false,0,,,,,,
UgjBvvA6yrnM5HgCoAEC,Rodnei C. R.,2 years ago,1465692812921,"É de se perguntar então por quê o TSE forçou o uso das urnas sem ao menos o mecanismo de impressão dos votos? Só eu ou mais alguém achou aquela ""apuração de votos"" a coisa mais esquisita do planeta? O relatório completo dos testes da equipe do Aranha contém provas contundentes da insegurança das urnas eletrônicas brasileiras, e pode ser acessado em https://sites.google.com/site/dfaranha/pubs/aranha-karam-miranda-scarel-12-pt",2,false,0,,,,,,
